objectid_1,objectid,park_cat,tmk,park_type,park_name,main_dist,link_id,legal_acre,globalid,first_base,first_soft,first_foot,first_socc,first_rugb,first_bask,first_tenn,first_voll,first_teth,first_golf,first_comm,first_hiki,first_jogg,first_exer,first_skat,first_sk_1,first_outr,first_picn,first_camp,first_ca_1,first_chil,first_swim,first_gymn,first_indo,first_art_,first_blea,first_bus_,first_co_1,first_conc,first_drin,first_ex_1,first_hand,first_ha_1,first_hist,first_land,first_life,first_ligh,first_park,first_pay_,first_pi_1,first_rest,first_shad,first_show,landwatcon,staffed,phone,total_acre,total_sqft,total_room,maint_dist,neighborho,council,first_city,first_name,first_zip,first_pool,first_po_1,first_po_2,x,y
1,1,1,17036010,5,Kunawai Springs,2,60,0.58999997,{28D54045-9FC1-407E-9DC2-BD7F78E5F489},F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F, , ,None,0.59,25700, ,2,14,6,Honolulu,650 Kunawai Lane,96817, , , ,1688852.34890264,57868.4069992346
2,2,1,46031021,2,Heeia Neighborhood Park,4,183,3.97000003,{F53C6767-D696-4D10-8D2B-CF7671BD676E},F,F,F,F,F,T,F,T,F,F,F,F,F,F,F,F,F,T,F,F,T,F,F,F,F,T,F,F,F,F,F,F,T,F,T,F,T,T,T,F,T,T,F, ,Y,233-7335,3.97,172933, ,4,30,3,Kaneohe,46-220 Haiku Road,96744, , , ,1705051.44195318,91243.8397995047
3,3,1,13001059,3,Fern Community Park,2,70,2.1400001,{CC806C9C-098A-464A-953F-1E162BE116FD},F,F,F,F,F,T,F,T,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,T,F,F,F,F,F,F,F,F,T,T,F,F,T,T,F,F,T,T,F, ,Y,832-7809,2.14,93218, ,2,15,0,Honolulu,1201 Middle Street,96819, , , ,1680924.01022529,62830.3922287946
4,4,1,13035001,3,Kalihi Uka Community Park,2,9,1.02999997,{C2AA211B-5E0A-4D39-9AC1-7C05F5B1CEBA},F,F,F,F,F,T,F,T,F,F,T,F,F,F,F,F,F,T,F,F,T,F,F,T,F,F,F,T,F,F,F,F,F,F,T,F,T,F,F,F,T,F,F, ,Y,832-7807,1.03,44867, ,2,16,6,Honolulu,2329 Kalihi Street,96819, , , ,1687220.26929464,64784.3443758217
5,5,1,19001001,12,Nuuanu Nursery,2,312,57.93999863,{F8B52AA8-A399-4605-84E0-599D7A41E809},F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F, , ,595-2972,57.94,2523866, ,2,0,6,Honolulu,3064 Pali Highway,96817, , , ,1696481.59789513,63642.7800114217
6,6,1,13027001,2,DeCorte Neighborhood Park,2,122,4.01999998,{5D913AC3-7199-4B25-BF6D-8FB2E5239735},F,F,F,F,F,T,F,T,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,T,F,F,T,F,F, , ,None,4.02,175111, ,2,0,6,Honolulu,1570 Perry Street,96819, , , ,1686651.70183178,63921.1471471914
7,7,1,18014001,3,Puunui Community Park,2,7,1.62,{A936C814-124C-442B-A91D-647A5D641680},F,F,F,F,F,T,F,T,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,T,F, ,Y,595-2460,1.62,70567, ,2,14,6,Honolulu,2555 Puunui Avenue,96817, , , ,1692306.91012652,60917.4723942788
8,8,1,43018008,14,North Kalaheo Ave at Ainoni Street,4,147,0.20999999,{7A68D69A-F1F8-453D-936C-C3CFB7C908CF},F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F, , , ,0.21,0, ,4,31,0,Kailua,Kalaheo Avenue & Ainoni Stree,96734, , , ,1727727.85958368,88500.7078979425
9,9,1,43017025,14,North Kalaheo Ave at Pueohala Place,4,177,0.18000001,{24E80295-950C-4C79-9041-AEAC02A0EF0F},F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F, , , ,0.18,0, ,4,31,0,Kailua,Kalaheo Avenue & Pueohala Pla,96734, , , ,1727995.04011782,87945.3323096723
10,10,1,43017001,14,North Kalaheo Ave at Dune Street,4,175,0.12,{708576D2-2E83-42AC-AFB9-0D57955A5E6C},F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F, , , ,0.12,0, ,4,31,0,Kailua,Kalaheo Avenue & Dune Street,96734, , , ,1728684.95987746,86736.8252408716
